9.99994,10,7,15,15.9999,12,17,14,19,15,14,42,11,6,10,9,5.99999,8.00001,17,11,21,13,66,19,11,12,7.00001,14,7,6.00001,15,26,13,8,28,12,21.9999,9,12,7.00001,10,6,7.99999,8.99994,37.9997,18,26,11,8.00001,11,24,67.0001,7.00001,9.00002,24,11,11,5.00001,4.00001,9.00002,11,50.9998,38,43,6.00001,13,25,25,17,14,10,9.00001,13,6,11,7.00001,23,5.00001,9.00001,10,43.9999,27.9999,13,8,17,8.00001,26,11,10,15,13.9999,17,10.9999,15,15,19,27,79.0001,12.9999,9.99998,31.9999,30,28,14,29,13,9.99999,13,8.99997,20.9999,10,13,24,23,6.99998,25,16,65.0001,18,29.9999,13,16.9999,5.99998,9.00001,37,12,13,38.9998,136,15,21,6.00001,13,11,17.9999,42.9997,10,7.00001,7.00001,24.9999,8.00002,11,6.00001,22.9999,96.9995,33,41.9999,15.9999,9.99994,22,16,20,10,11,22,15.9999,16,12,23,14,6.99996,12.9999,5.99999,5.00001,13,15,14,6.00001,43.9999,15,10,11,32.9998,7.99996,6.99999,9.00001,12,5.00001,10,8.00001,18,11,55,19,17,14,8.99997,44,38,18,20,10,17,11,13,13,11,10,10.9999,9.99993,
7.99998,10,7,7,7.99994,9,7.00001,5,44.9999,19,22,16,8.00001,33.9999,17,23,6,8.00001,39,12,24,7,28,7.00001,13,8.00001,15,6.99998,12,11,19.9999,24,12,26,7.99999,18,14,24,6.00001,14,20.9999,41,10,22,19,77.9998,22,11,13,14,8.99999,13,18,16,16,16.9999,20,7,5.00001,10,16,16,17,69.0001,20,20.9999,7.00001,43.9999,26.9998,11.9999,9.00001,27,33.9997,17,7.99999,92.9998,8.00002,10,5.00001,25,20,25.9999,12,25,11,7,5.99999,9.99997,39,11,28,20,36.9997,24,6.00001,9.00001,6.00001,22,9.00001,38,8.99999,25,56,17,8.00002,15.9999,47.9999,7.00001,19,17.9999,24,24.0001,20,48,17,12,8.00001,31,21,50.9999,16,19.9999,8.99998,9.99996,13,24,22,58,31.9999,24,11,12.9999,21.9999,8.00001,19.9999,19.9999,20,22,8.00002,28,26,11,11,9.00002,8.99999,15,15,22.9999,7.99997,11,6.99999,6.00001,19.9999,11,12,13,39.9999,31,16,44,6.99992,21.9998,12,9.00001,9.00001,26.9999,11,6.00001,16,16,6.99998,10,16,7.99997,9.00001,57,43.0001,30.9999,70.9998,19,16,32.0001,22,97.9998,79,45.9997,29.9996,23,16,37.9998,34,16,27,10,14,13,6.00001,14,17.9999,33.9999,
8,24,10.9999,7.00001,29.9998,5.99997,9.99999,7,18,10,16,11,15,20.9999,23,8.00001,14,33,9.00002,33.9999,17,34.9999,13,26,11,14,7,8.99998,8.99999,8.00001,17.9999,11,32,19,6,6.00001,7.00001,9.99998,7.00001,14,15,33,6.00001,9,21,13,16,13,14,46,22,33,12,13,17,17,19.9999,14,18,11,24.9999,12.9999,19.9999,6.00001,15,23,13,16,11.9999,16,17,8.00002,38,12,47.9998,12,10,15,8.00001,8.00001,9.99997,8.99999,14,14,9.00002,7.00001,9.99998,16,44.0001,11,15,44.9998,18,60.9997,24,21,36,18,23,20,24,24,13,7.00001,13,14,17,13,114.999,30.9999,33,22,15,13,32,18,9.00002,27,34,21,12,10.9999,6.99999,51.0001,157.999,13,28.0001,21,17,18,50.0001,7.00002,17,27,23.9999,28.9998,10,17,13,28,11,11,18,14,23,30,22.9999,23.9999,8.99995,5.00001,7.00001,10,11,17,33.0001,21,27,8.00001,6,22,7.99991,17.9999,7,15,11,21,29,8.00001,14,7.00001,8.00001,9.00001,26.9999,26.9998,10,71,8.00001,15,15,12,6.00001,23,15,74.9999,39,14,12,68,9.00001,21.9999,16,7.99998,15,40.9998,14,27,13,36,10.9999,19.9999,
16,20,9.99998,19.9999,9.99999,9.99999,14,10,11,16,22,11.9999,8,8.99999,5,15,10,4.99999,10,12,14,17,8,12,11,36,11,23,23,10,12,14,19,11,11,14,7,11,14.9999,12,11,8.99999,18,9,14,19,4,5.99999,13,25,8.99999,10,39,16,9.99999,7.99999,17,5.00001,9.00001,12,24.9999,12,10,19,18,25,15,18,7.99995,55,50.9999,28,16,15,14,27,17,6.00001,9.00001,11,18,8.99998,12,27,8.00001,13,25,8.99998,9,12,8,9.00001,21.9998,48.9999,16,8.00001,26,20,15,9.99998,8.99996,9.99999,7.00001,28,12,12,9.00001,38.9999,42.9997,14,12,18,13,30,24.0001,12,17,12,12,14,22,18.9999,23.9998,13,39,70,11,12,8.99998,48.9999,13,31.0001,9.00001,7.00001,19.9999,26.9999,56,7.00001,7.00001,15,9.00002,10,15,48,27,15,6.00001,5.99997,8.99998,5.00001,8.00001,15,19,13,8.00001,8,12.9999,32.9998,10.9999,31,11,10.9999,9.99998,16,17,9.00001,25,8.00001,18,52,10,24,15,11,13,53.9999,10,16,14,59.9997,8.99996,108,66,12,15,44.9997,26.9999,11,14,5.99999,6.00001,13,33,17,12,22,11,15,11.9999,7.99999,
12,6.00001,6,8.00001,7.99999,6.00001,18,11,53,22,35,23.9998,28,9.00001,9,75,13,14.9999,25,5.99999,6.99998,16,18,16,10,72.9999,22,14.9999,28,18,8,9,18,6,8,30,9,12,5.00001,15,6.00001,6.00001,19,7.00001,11,9.00002,16,12,8.00001,33,10.9999,16,14,26,19,18,9.00002,7,8.00002,18,15,12,12,17,22,21,16,14,11,29,20,11,20,13,11,17,19,10,5.00001,7.00001,6.99999,9.99995,10,8.00002,10,4,6.99998,8.99997,12,9.00001,6.00001,15,16.9999,23.9999,14,10,14,14,12,17,19.9999,6.00001,7.00001,10,9.00001,23.0001,8.00001,13,27.9999,13.9999,10,8.00001,14,18,12,11,14,64,13,17,17,8.99994,32.9998,34,26,38,13,23,14,9,36.0001,19,13,16,6.99997,19.9999,89,44,20,17,8,15,9.00002,12,13,17,22,12.9999,7.99996,39,10,12,10,12,11,14,16,13,7.00002,40,7.99998,10.9999,13,27,11,32,16,36.0001,6.00001,15,10,25,8.99994,5.99998,18,10,8.00001,7.00001,11,10,48.0001,18,20,9.99994,6.00001,7.99996,7.99999,6.00001,6.00001,13,10,53,8.00002,26,18,13,15,20,8.99992,9.99998,
6,19,9.00001,11,8.00001,13,13,11,44.9999,13,15.9999,14.9999,31.9999,17.9999,8,12,6.99999,7.00001,8.99995,10,12,14,18,14,15,28,38,16,5,18,19,11,11,10,18,13,37.9999,8.00001,19,8.99999,14.9999,6.00001,34,7.00001,8,11,13,17,7.00001,16,20,14,11,13,30.9997,12,5.00001,17,9.99998,6,6,26.9999,25.0001,15,19,10,7.00001,8.99999,20,16,40,19,9.00002,11,13,17,18,22,8.00002,13,16,60.9998,9.00002,9.00002,11,9.00002,15,23.9999,4.00001,28,12.9999,15,20,15,7.99995,7.00001,26,10,11,8.99998,8,29,11,26,10,11,7.00001,10.9999,19.9999,45.9996,22.9999,13,40,33,18,16,17,10,19,11,8,42.9997,33.9998,18,15,14,15,14,10,10,39,21,23,9,9.99996,8.99997,12,14,29,31,17,13,31,8.00002,18,10,21,24,8.99999,22.0001,18,7.00001,4.00001,6.00001,8.00001,9.99996,8.99999,4,15,22,17.9999,24.9998,8.00001,101,10,11,7.00001,28.0001,8.00001,15,6.00001,7.00002,17.9999,11.9999,32,8.00002,13,36,9.00002,22,9.00002,62.9996,29.0001,23,6.00001,7.99996,8.99997,6.99999,7.00001,6.99999,14,11,15,19,7.00001,6.00001,6.00002,15,6.99996,11.9999,
18.9999,19,24,19.9999,11,13,17,15,37,14,35,17,18,9,7,7.00001,6,6,11,18.9998,22,58.9998,15,8.00001,15,12,6.00001,21,35.9999,13,30,16,6,10,6,13,38.9999,23,6.00001,26,8.99999,9,9.00001,15,36.9998,12,11,19,17,16,28,10,11,6.00001,7.99998,4.99999,4,7.00001,20,14,27.9999,7.99998,26.9999,34,16,43,12,13,15,10,60,12,12,37.9999,42.9998,15.9999,7.00001,10,6,3.00001,17.9999,11,14,16,16,16,24.9999,6.99998,6,17,8,7.00001,6.99998,20.9999,14,9,11,14,7.00001,3.99999,13.9999,40.0001,6,10,36,14,30.9999,8.00001,7.99997,15.9999,22.9999,24,34,21,23,19,19,8,9,21,22,16.9999,9.99996,11,25,14,10,9.00001,18,32.9999,21,20.9999,11,41,6.99996,31.9999,8.00001,15,29,17,10,7.00001,10,10,5.00001,19.9999,19,18.9999,7.99996,14,10,13,11,15.9999,14,9.00002,6.00001,14,43.9999,9.99996,23.9999,25.9999,10,7.99994,8.00001,14,30,10,19,6.00001,7.00001,18,5.99996,7.99999,14,10,14,17,50,12,10,11,35,16,14,5.99997,8.99995,29,10,5.00001,49.9998,23,9.00001,36,29,11,10,20,9.99998,11.9999,
8.00002,15,79.9999,19,8.00001,14,13,14,13,13,16,7.00001,13,56,7.00001,16,13,7,40,9,7.00001,11.9999,14,7,19,22,13,14,20,24,9,12,13,22,14,12,5.00001,13,16,10,12,12,12,28,49,11,22,14,51.0001,12,12,8.00002,19,16,19,6,7.00001,11,11,19,27.9999,16,9.00002,59,41,67,25,20,12,16,21,94,20,19,21.9999,8.99997,15,14,13,11,14,11,9.00001,14,12,14,6.99999,15,53,35,31,10,11,17,11.9999,10,29.9999,6.00001,13,26,26.9998,9.99998,13,7.00001,7.00001,30,8.00002,26,9.99994,6.99997,30.9998,15.9999,6.00001,7.00001,24,39,15,28,15,42.0001,21,6,16.9999,57.0001,28,21,14,20,8.00001,14,13,5.00001,12.9999,6.00001,20,16.9999,10,27,7.00002,7.00001,8.00001,9.00002,8.00002,14,9.00002,26.9999,25,13.9999,17.9999,13,14,15,15,14,13,24,8.00002,11,21,10,6.99999,12,10,6.00001,10,11,62,15,22,20,9.00002,28,16.9999,17.9999,21,10,13,19,9.00002,12,9,16,12,13,26.9998,7.99999,16.9999,43.0001,31,11,21,18,23,15,48,18.9999,17,15,11,6.99998,
12,19,72.0001,9.00001,6.99996,5,11,8,10,5.00001,10,11,35.9999,29,8,9,17,5.00001,22,17,19,8,12,7.00001,11,8.00001,9.00002,17,18,18,17,8,7.00001,14,11,27,16,13,65.9999,17,19.9999,64.9999,8.00002,12,14,13,22,14,20,13,6.00001,20,15,33.0001,62.9999,27,11,32,14,26,12,14,11,12,8.00001,9.00002,17,19,26,24,25,39.0001,13,7.99997,10,30,10,8.00002,13,16,21,5.99999,6,10,26.0001,25,5.99999,6.99999,13,4.00001,6.00001,13,12,8.99997,8.00002,12,12,6.00001,5.00001,17,6.99999,14.9999,16.9999,15,5.00001,9.00001,10,11,17.9999,21.9999,31,29.0001,18,8.00001,95.0001,15,15,18,33,22,13,5.99999,30.9998,29,10,8.99999,9.99999,13,13,12,15,13,9.00002,8.00001,42.9999,5.99998,9.00001,14,18,5.99998,13,8.00002,15,15,19,15,13,36.9999,31.9998,17,43,8.00002,20,13,17,7.00001,24,9,6.00001,12,6.99997,5.99997,13,8.00001,6.00001,9,13,6,31,15,14.9999,10,19.9999,6.99998,9.00002,34,29,17,22,6.00001,7.00001,10,20,7.00001,20,8.99995,30.9999,19,15,11,20,30.9998,15,14,11,17,7.99996,13,9.99998,5.99997,
9.00001,13,32,18,20,17.9999,13,6,23.9999,11,10,12,9,11,4.00001,11,8.00001,8.00001,13,26,11,18,20,8.00001,14,9.00001,6.00001,6,12,30,9,10,8.00001,35,21.9999,8.00002,15,16,16,15,12,8,18,13,14,8.00001,25,7,14,11,28,19.9999,18,45,20,9.99998,12,14,13,26,22,7.99999,6.00002,14,63.0001,6.00001,39,19.9999,17.9999,25,47,5.00001,10,12,11,19,25,18,14,32,76.9999,34.9999,44,17,11,17,20,15,24,9.00001,9.00002,23,21,36.9999,15,10,21,7,13,12,9.99999,18,13,132,28,13,13,17,6.99998,12,8.00001,6.00001,11,20,9.00002,9.00002,7,14,6.00001,7.00001,9.00001,15,6.99998,26,8.00002,7.00001,16,14,8.00002,19,8.00001,7.99996,8.99995,13,9.99997,15.9999,14,31,7.00002,23,13,13,20,31,20,27,10,18.9999,25.9997,13,10,6,16,20,53,5.00001,9.00001,9.00001,10,10,10.9999,5.99996,4.99998,25,12,27,10,10,21,43.9998,7.00001,13,47.9996,29.9998,12,41,8.00001,18,8.00001,7.00001,19,17,35,109,9.00002,38.9998,17.9999,12,14,22,15,7.00001,15,7.00001,10,15,10,12,26,8.99996,
